YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
9984.0,1,832.0,2,832.0,1,1,1,0,316.0,34,1,0,0.0,0,1,0,0,0.0,2,48
9816.0,0,648.0,5,818.0,2,3,1,1,648.0,3,1,0,0.0,0,0,0,1,0.0,1,35
6348.0,1,529.0,3,529.0,1,1,1,0,529.0,7,0,0,0.0,0,0,0,1,0.0,2,44
2400.0,1,200.0,4,200.0,1,3,0,0,0.0,118,0,0,0.0,0,0,0,1,200.0,2,31
10920.0,0,560.0,6,910.0,1,3,1,1,560.0,60,0,0,0.0,0,0,0,1,0.0,0,38
15876.0,1,1323.0,5,1323.0,1,3,1,0,700.0,28,0,0,623.0,1,0,0,1,0.0,1,43
8160.0,1,680.0,3,680.0,1,2,1,0,281.0,27,1,0,0.0,0,1,0,0,0.0,2,37
7200.0,0,600.0,2,600.0,2,1,0,0,0.0,56,1,1,0.0,0,1,0,0,0.0,0,24
4380.0,0,365.0,3,365.0,2,1,0,1,365.0,17,1,0,0.0,0,0,1,0,0.0,0,28
8712.0,1,726.0,2,726.0,1,1,1,0,326.0,67,1,0,0.0,0,1,0,0,0.0,2,24
0.0,0,0.0,3,0.0,1,2,0,1,0.0,2,0,0,0.0,0,0,0,1,0.0,0,24
20784.0,1,1732.0,4,1732.0,1,2,1,0,500.0,60,0,0,0.0,0,0,0,1,0.0,1,28
13200.0,1,1100.0,4,1100.0,3,3,1,0,400.0,97,1,0,700.0,1,1,0,0,0.0,0,29
13860.0,1,755.0,4,1155.0,2,2,0,0,480.0,87,0,0,0.0,0,0,0,1,275.0,1,32
4800.0,0,200.0,5,400.0,1,3,0,0,0.0,56,0,0,0.0,0,0,0,1,0.0,0,26
5604.0,0,367.0,3,467.0,1,1,0,1,367.0,49,0,0,0.0,0,0,0,1,0.0,0,19
9600.0,1,800.0,3,800.0,1,1,0,0,0.0,83,0,0,800.0,1,0,1,0,0.0,0,26
